[1, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[2, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[3, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[4, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[5, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[6, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[7, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[8, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[9, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[10, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[11, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[12, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[13, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[14, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[15, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[16, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[17, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[18, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[19, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[20, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[21, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[22, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[23, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[24, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[25, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[26, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[27, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[28, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[29, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[30, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[31, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[32, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[33, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[34, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[35, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[36, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[37, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[38, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[39, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[40, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[41, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[42, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[43, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[44, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[45, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[46, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[47, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[48, <=6.1, <=3.2, <=3.95, <=1.3, Iris-setosa]
[49, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[50, <=6.1, >3.2, <=3.95, <=1.3, Iris-setosa]
[51, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[52, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[53, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[54, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[55, >6.1, <=3.2, >3.95, >1.3, Iris-versicolor]
[56, <=6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
[57, >6.1, >3.2, >3.95, >1.3, Iris-versicolor]
[58, <=6.1, <=3.2, <=3.95, <=1.3, Iris-versicolor]
[59, >6.1, <=3.2, >3.95, <=1.3, Iris-versicolor]
