Atributos :[ID, sepallength, sepalwidth, petallength, petalwidth, class]
Exemplo 1: [1, 5.1, 3.5, 1.4, 0.2, Iris-setosa]
Exemplo 2: [2, 4.9, 3.0, 1.4, 0.2, Iris-setosa]
Exemplo 3: [3, 4.7, 3.2, 1.3, 0.2, Iris-setosa]
Exemplo 4: [4, 4.6, 3.1, 1.5, 0.2, Iris-setosa]
Exemplo 5: [5, 5.0, 3.6, 1.4, 0.2, Iris-setosa]
Exemplo 6: [6, 5.4, 3.9, 1.7, 0.4, Iris-setosa]
Exemplo 7: [7, 4.6, 3.4, 1.4, 0.3, Iris-setosa]
Exemplo 8: [8, 5.0, 3.4, 1.5, 0.2, Iris-setosa]
Exemplo 9: [9, 4.4, 2.9, 1.4, 0.2, Iris-setosa]
Exemplo 10: [10, 4.9, 3.1, 1.5, 0.1, Iris-setosa]
Exemplo 11: [11, 5.4, 3.7, 1.5, 0.2, Iris-setosa]
Exemplo 12: [12, 4.8, 3.4, 1.6, 0.2, Iris-setosa]
Exemplo 13: [13, 4.8, 3.0, 1.4, 0.1, Iris-setosa]
Exemplo 14: [14, 4.3, 3.0, 1.1, 0.1, Iris-setosa]
Exemplo 15: [15, 5.8, 4.0, 1.2, 0.2, Iris-setosa]
Exemplo 16: [16, 5.7, 4.4, 1.5, 0.4, Iris-setosa]
Exemplo 17: [17, 5.4, 3.9, 1.3, 0.4, Iris-setosa]
Exemplo 18: [18, 5.1, 3.5, 1.4, 0.3, Iris-setosa]
Exemplo 19: [19, 5.7, 3.8, 1.7, 0.3, Iris-setosa]
Exemplo 20: [20, 5.1, 3.8, 1.5, 0.3, Iris-setosa]
Exemplo 21: [21, 5.4, 3.4, 1.7, 0.2, Iris-setosa]
Exemplo 22: [22, 5.1, 3.7, 1.5, 0.4, Iris-setosa]
Exemplo 23: [23, 4.6, 3.6, 1.0, 0.2, Iris-setosa]
Exemplo 24: [24, 5.1, 3.3, 1.7, 0.5, Iris-setosa]
